DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2023-10-30,384.0,382.0,384.35,380.4,382.7,2344372,895902136.95,85164
2023-10-27,379.05,382.35,384.35,379.05,382.9,3101406,1185453978.15,102257
2023-10-26,378.8,378.25,380.55,375.05,378.9,5497791,2078044658.85,155825
2023-10-25,384.4,381.85,387.7,381.1,381.95,3339147,1281842932.25,108480
2023-10-23,390.85,383.15,393.0,382.2,383.0,4418913,1711082132.75,118406
2023-10-20,395.05,391.85,396.05,391.0,392.0,4214668,1657748683.8,117931
2023-10-19,391.95,395.3,396.75,390.1,395.05,12814551,5052135324.35,224639
2023-10-18,409.0,407.45,413.65,407.0,407.5,2440533,1000528311.7,78113
2023-10-17,411.7,411.4,413.85,411.05,411.1,2989694,1232352075.6,70496
2023-10-16,411.0,410.2,411.9,408.15,410.1,2638826,1081915244.6,65869
2023-10-13,411.9,411.05,414.4,409.05,411.0,5457027,2242739239.25,98723
2023-10-12,421.75,417.1,421.9,414.7,416.7,5117199,2139978545.05,112919
2023-10-11,409.0,421.15,423.95,409.0,421.1,9546114,4008512518.5,126117
2023-10-10,406.4,407.75,408.75,406.2,407.65,2564007,1044394930.05,72323
2023-10-09,404.2,405.6,411.0,403.4,404.65,3015225,1228709165.5,84648
2023-10-06,408.0,407.85,409.8,406.95,407.5,3182502,1298872462.55,79780
2023-10-05,407.95,406.8,410.4,405.0,407.0,4062652,1654813474.85,98802
2023-10-04,402.7,404.9,405.45,400.65,405.45,3452935,1390999694.7,88104
2023-10-03,406.45,405.45,408.1,403.6,405.75,2864052,1161351096.15,75683
2023-09-29,405.0,406.05,409.25,401.5,406.5,6390136,2588423523.9,118975
2023-09-28,416.5,405.35,416.5,404.0,407.0,8438058,3445701040.7,137144
2023-09-27,412.25,415.65,416.55,410.3,415.5,3886997,1607801899.0,77532
2023-09-26,416.8,412.9,416.8,411.7,413.0,3240283,1339685208.75,98745
2023-09-25,418.5,414.1,419.75,412.0,414.3,4650566,1930869252.15,93474
2023-09-22,424.4,418.5,426.75,416.6,418.5,9909130,4165330761.5,159688
2023-09-21,429.9,428.95,431.25,423.05,428.15,4446535,1901163575.15,131440
2023-09-20,434.25,430.1,436.85,429.05,430.0,4551350,1969992006.4,99754
2023-09-18,441.05,436.1,441.05,435.2,436.0,3012598,1317649175.05,89644
2023-09-15,439.8,441.05,443.75,438.25,440.5,9917938,4373663863.4,109608
2023-09-14,438.4,436.45,443.25,435.3,436.8,7447505,3265884775.75,141096
2023-09-13,434.95,435.7,437.95,431.5,435.25,3722835,1621965393.95,89889
2023-09-12,437.1,435.0,441.5,426.9,435.0,7272664,3167034270.85,142396
2023-09-11,433.0,434.85,437.5,430.1,434.4,4126657,1794977418.9,104547
2023-09-08,433.45,430.0,433.45,429.3,430.5,2874205,1238570246.75,72265
2023-09-07,429.95,432.85,433.7,426.75,433.2,4661325,2010597936.2,80116
2023-09-06,433.75,429.3,435.55,425.9,429.0,6765956,2905444337.7,113366
2023-09-05,435.8,431.85,437.5,430.3,431.8,8986713,3898472298.2,119690
2023-09-04,418.0,434.1,436.5,416.0,434.45,13817324,5904664876.55,223525
2023-09-01,407.95,416.35,417.75,407.5,416.7,4238065,1750823973.65,97133
2023-08-31,408.0,408.4,410.0,406.45,409.95,11030976,4503525225.9,96303
2023-08-30,410.0,407.2,410.2,406.65,406.95,2009091,821201454.45,60881
2023-08-29,409.65,408.1,411.9,407.1,408.45,1999281,818052761.15,58081
2023-08-28,411.45,408.05,412.45,407.65,408.0,1700987,696097112.55,51292
2023-08-25,410.0,409.7,411.3,407.1,408.8,3299255,1351637893.45,67686
2023-08-24,418.75,412.7,420.0,412.0,413.1,2888478,1201398589.65,64921
