DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2023-09-06,443.95,447.45,448.5,442.0,448.0,12863039,5733284923.4,179677
2023-09-05,438.9,443.1,444.5,438.5,444.15,8378915,3697663243.35,125789
2023-09-04,443.35,437.5,443.35,436.65,437.5,13604608,5965023205.7,195519
2023-09-01,440.0,441.05,445.0,438.3,440.0,11438624,5056307086.15,209049
2023-08-31,443.0,439.7,444.9,436.1,439.5,19900312,8750176727.45,226365
2023-08-30,441.0,442.8,444.0,440.5,443.1,7364924,3259176403.1,129298
2023-08-29,442.95,440.1,444.0,439.2,440.7,9480003,4178342360.05,173053
2023-08-28,445.0,441.4,446.85,441.0,441.0,6910750,3063999468.2,125415
2023-08-25,450.9,443.35,451.0,442.05,443.5,9270988,4134566040.8,169813
2023-08-24,450.6,450.9,453.5,449.3,451.2,6088274,2745642789.2,157601
2023-08-23,455.6,450.45,455.65,448.6,450.6,8445029,3806500841.0,181446
2023-08-22,449.0,454.25,455.15,447.0,454.4,9854945,4459947311.75,151525
2023-08-21,442.0,447.8,448.5,441.35,448.0,9572041,4265403760.5,148497
2023-08-18,441.0,441.65,443.35,438.5,441.0,19324262,8518948569.5,274698
2023-08-17,450.0,441.0,450.0,440.0,440.95,16269569,7190276040.4,353763
2023-08-16,451.0,450.25,457.4,448.2,449.0,14920272,6742605845.9,208058
2023-08-14,448.75,449.2,451.25,445.05,447.8,7562808,3385119308.2,187268
2023-08-11,453.9,448.75,453.9,444.75,448.0,11582326,5185144631.5,229984
2023-08-10,458.9,451.75,459.3,449.0,452.95,13194170,5969991295.95,271611
2023-08-09,452.35,458.65,459.9,446.9,459.0,9758343,4413784771.45,197461
2023-08-08,457.0,452.35,457.0,451.05,452.3,6392488,2897108679.7,167641
2023-08-07,454.1,454.9,456.55,450.95,454.95,9161131,4162665798.75,190759
2023-08-04,456.3,454.95,461.4,454.25,455.25,6834401,3117333363.9,156261
2023-08-03,460.1,456.05,463.75,454.3,456.3,10617897,4870069798.2,209906
2023-08-02,464.6,460.1,464.8,458.0,460.0,10318220,4746232499.3,241505
2023-08-01,466.0,464.8,468.85,463.8,465.5,6438221,3001150880.55,150394
2023-07-31,469.0,465.7,469.7,463.5,465.25,8194797,3821300383.9,189948
2023-07-28,467.7,468.45,469.45,463.4,467.65,9978231,4655887886.55,165596
2023-07-27,474.4,465.05,475.15,461.1,467.15,13989457,6554459376.05,228805
2023-07-26,464.9,472.25,473.0,462.05,472.4,18143422,8523140129.85,253061
2023-07-25,467.9,462.3,468.5,455.4,461.35,43534718,20021634759.95,455276
2023-07-24,493.45,471.35,499.7,468.15,469.35,38976815,18684064255.75,394048
2023-07-21,491.8,490.45,497.7,487.0,493.45,13971982,6879844644.8,216222
2023-07-20,479.9,492.15,493.7,476.3,491.5,20250206,9871847183.05,254892
2023-07-19,472.75,478.85,480.45,468.1,479.15,13867323,6583023567.35,172994
2023-07-18,472.55,472.5,474.2,471.0,472.65,5352283,2529090691.15,119303
2023-07-17,474.5,472.35,475.8,470.6,472.4,6090738,2880982660.55,132996
2023-07-14,473.0,472.9,475.0,471.35,473.55,5081391,2404496856.15,119759
2023-07-13,473.9,472.0,476.75,471.0,472.35,7909757,3750647067.45,130301
2023-07-12,477.75,472.3,477.75,470.45,471.95,12340934,5842614387.9,151437
2023-07-11,466.0,473.15,474.55,466.0,473.45,8457557,3991128321.35,141001
2023-07-10,470.0,465.85,470.9,463.7,467.0,6521300,3044348299.9,147782
2023-07-07,473.0,468.4,475.5,467.6,469.5,7323451,3447894801.85,173910
2023-07-06,477.35,473.9,477.4,470.5,474.5,9471054,4482701746.3,177472
2023-07-05,466.35,475.1,480.65,464.3,475.05,16252992,7708668274.75,276676
2023-07-04,465.0,466.35,468.0,459.8,465.7,7725081,3581620230.1,140645
2023-07-03,451.6,463.25,465.95,450.05,465.9,10699143,4900200625.2,163111
2023-06-30,450.0,451.6,451.95,446.6,451.5,9106074,4100691375.6,155907
2023-06-28,445.0,449.35,450.6,444.5,449.0,12082753,5422169509.15,170319
2023-06-27,446.1,445.1,447.2,443.15,445.45,4865596,2163549325.65,104647
2023-06-26,446.9,445.7,451.4,444.0,445.3,5477339,2447961222.15,137298
2023-06-23,447.5,444.75,447.65,442.7,445.1,6090901,2708809798.45,102419
2023-06-22,448.0,447.65,449.65,445.85,447.75,6637099,2973041763.65,90886
2023-06-21,452.0,447.05,454.2,445.05,448.0,6059504,2721584526.6,109801
2023-06-20,454.8,452.85,454.8,450.15,453.2,4472119,2020975859.75,84850
2023-06-19,454.75,453.6,455.9,452.25,453.75,4189180,1903187370.95,67433
2023-06-16,449.0,453.1,455.6,447.9,453.5,11729681,5310177400.75,129067
2023-06-15,445.0,448.1,448.75,444.75,448.0,7498727,3355607683.8,121812
2023-06-14,446.25,444.5,447.75,443.75,444.85,8704178,3882846562.0,136087
2023-06-13,441.0,445.4,446.4,438.3,445.9,16111860,7159622903.4,154723
