SYMBOL,SERIES,CLOSE
HIMATSEIDE,EQ,157.15
HINDALCO,EQ,567.2
HINDCOMPOS,EQ,437.2
HINDCOPPER,EQ,281.95
HINDMOTORS,EQ,18.15
HINDOILEXP,EQ,184.95
HINDPETRO,EQ,430.6
HINDUNILVR,EQ,2428.3
HINDWAREAP,EQ,468.5
HINDZINC,EQ,313.2
HIRECT,EQ,572.35
HISARMETAL,EQ,193.3
HITECH,EQ,151.45
HITECHCORP,EQ,252.85
HITECHGEAR,EQ,479.85
HLEGLAS,EQ,541.35
HLVLTD,EQ,36.15
HMAAGRO,EQ,65.9
HMVL,EQ,100.9
HNDFDS,EQ,541.45
HNGSNGBEES,EQ,237.73
HOMEFIRST,EQ,964.5
HONASA,EQ,485.9
HONAUT,EQ,38697.35
HONDAPOWER,EQ,2449.55
HPAL,EQ,109.95
HPL,EQ,290.2
HTMEDIA,EQ,29.85
HUBTOWN,EQ,124.7
HUDCO,EQ,163.55
HUHTAMAKI,EQ,334.3
IBREALEST,EQ,102.25
IBULHSGFIN,EQ,198.55
ICEMAKE,EQ,592.15
ICICIB22,EQ,94.14
ICICIBANK,EQ,1009.95
ICICIGI,EQ,1482.2
ICICIPRULI,EQ,486.3
ICIL,EQ,276.55
ICRA,EQ,5526.45
IDBI,EQ,83.5
IDEA,EQ,14.6
IDEAFORGE,EQ,723.35
IDFC,EQ,116.0
IDFCFIRSTB,EQ,80.05
IDFNIFTYET,EQ,230.25
IEX,EQ,135.7
IFBAGRO,EQ,484.05
IFBIND,EQ,1241.15
IFCI,EQ,52.8
IFGLEXPOR,EQ,767.55
IGARASHI,EQ,543.85
IGL,EQ,405.15
IGPL,EQ,492.3
IIFL,EQ,601.75
IIFLSEC,EQ,173.6
IKIO,EQ,331.95
IMAGICAA,EQ,71.15
IMFA,EQ,518.55
IMPAL,EQ,1163.4
INDBANK,EQ,43.3
INDHOTEL,EQ,473.6
INDIACEM,EQ,252.6
INDIAGLYCO,EQ,884.5
INDIAMART,EQ,2449.2
INDIANB,EQ,460.6
INDIANCARD,EQ,317.1
INDIANHUME,EQ,246.95
INDIASHLTR,EQ,575.95
INDIGO,EQ,2863.05
INDIGOPNTS,EQ,1450.0
INDNIPPON,EQ,730.8
INDOAMIN,EQ,165.1
INDOBORAX,EQ,204.9
INDOCO,EQ,364.15
INDORAMA,EQ,54.6
INDOTECH,EQ,863.95
INDOTHAI,EQ,297.15
INDSWFTLAB,EQ,104.3
INDSWFTLTD,EQ,18.25
INDTERRAIN,EQ,72.95
INDUSINDBK,EQ,1512.0
INDUSTOWER,EQ,225.45
INFIBEAM,EQ,29.1
INFOBEAN,EQ,414.2
INFRABEES,EQ,791.67
INFRAIETF,EQ,77.89
INFY,EQ,1669.1
INGERRAND,EQ,3132.65
INNOVACAP,EQ,515.9
INOXGREEN,EQ,128.5
INOXINDIA,EQ,853.6
INOXWIND,EQ,469.45
INSECTICID,EQ,631.05
INTELLECT,EQ,910.4
INTENTECH,EQ,125.35
INTLCONV,EQ,92.35
IOB,EQ,45.75
IOC,EQ,143.7
IOLCP,EQ,435.1
IONEXCHANG,EQ,550.0
IPCALAB,EQ,1115.45
IPL,EQ,377.6
IRB,EQ,50.7
IRCON,EQ,247.25
IRCTC,EQ,970.3
IREDA,EQ,169.8
IRFC,EQ,173.85
IRIS,EQ,133.6
IRISDOREME,EQ,85.2
IRMENERGY,EQ,508.2
ISEC,EQ,776.15
ISFT,EQ,172.7
ISGEC,EQ,1033.2
ISMTLTD,EQ,96.3
ITBEES,EQ,38.68
ITC,EQ,455.65
ITDC,EQ,637.4
ITDCEM,EQ,312.55
ITETF,EQ,36.57
ITI,EQ,341.65
ITIETF,EQ,38.63
IVZINGOLD,EQ,5509.0
IVZINNIFTY,EQ,2365.05
J&KBANK,EQ,130.55
JAGRAN,EQ,99.4
JAGSNPHARM,EQ,385.4
JAICORPLTD,EQ,379.85
JAIPURKURT,EQ,70.6
JAMNAAUTO,EQ,110.95
JASH,EQ,1752.45
JAYAGROGN,EQ,251.7
JAYBARMARU,EQ,138.3
JAYNECOIND,EQ,47.9
JAYSREETEA,EQ,113.25
JBCHEPHARM,EQ,1695.5
JBMA,EQ,1849.35
JCHAC,EQ,1153.9
JETFREIGHT,EQ,16.2
JHS,EQ,35.8
JINDALPHOT,EQ,548.0
JINDALPOLY,EQ,636.0
JINDALSAW,EQ,513.8
JINDALSTEL,EQ,716.3
JINDRILL,EQ,778.0
JINDWORLD,EQ,289.15
JIOFIN,EQ,239.85
JISLDVREQS,EQ,36.85
JISLJALEQS,EQ,64.3
JKCEMENT,EQ,4167.45
JKIL,EQ,602.15
JKLAKSHMI,EQ,930.9
JKPAPER,EQ,420.7
